country_id;name
0;No Info
1;Afghanistan
2;Albania
3;Algeria
4;Andorra
5;Angola
6;Antarctica
7;Argentina
8;Armenia
9;Aruba
10;Australia
11;Austria
12;Azerbaijan
13;Bahamas
14;Bahrain
15;Bangladesh
16;Belarus
17;Belgium
18;Belize
19;Bermuda
20;Bhutan
21;Bolivia
22;Bosnia and Herzegovina
23;Botswana
24;Brazil
25;Brunei
26;Bulgaria
27;Burkina Faso
28;Burma
29;Cambodia
30;Cameroon
31;Canada
32;Cape Verde
33;Cayman Islands
34;Chad
35;Chile
36;China
37;Colombia
38;Cook Islands
39;Costa Rica
40;Côte d'Ivoire
41;Croatia
42;Cuba
43;Cyprus
44;Czech Republic
45;Czechoslovakia
46;Denmark
47;Djibouti
48;Dominican Republic
49;East Germany
50;Ecuador
51;Egypt
52;El Salvador
53;Equatorial Guinea
54;Estonia
55;Ethiopia
56;Faroe Islands
57;Federal Republic of Yugoslavia
58;Fiji
59;Finland
60;France
61;Gabon
62;Gambia
63;Georgia
64;Germany
65;Ghana
66;Gibraltar
67;Greece
68;Greenland
69;Guadeloupe
70;Guatemala
71;Guinea
72;Guinea-Bissau
73;Haiti
74;Holy See (Vatican City State)
75;Honduras
76;Hong Kong
77;Hungary
78;Iceland
79;India
80;Indonesia
81;Iran
82;Iraq
83;Ireland
84;Isle Of Man
85;Israel
86;Italy
87;Jamaica
88;Japan
89;Jordan
90;Kazakhstan
91;Kenya
92;Korea
93;Kosovo
94;Kuwait
95;Kyrgyzstan
96;Laos
97;Latvia
98;Lebanon
99;Lesotho
100;Liberia
101;Libya
102;Liechtenstein
103;Lithuania
104;Luxembourg
105;Macao
106;Malawi
107;Malaysia
108;Maldives
109;Mali
110;Malta
111;Martinique
112;Mauritania
113;Mauritius
114;Mexico
115;Moldova
116;Monaco
117;Mongolia
118;Montenegro
119;Morocco
120;Mozambique
121;Myanmar
122;Namibia
123;Nepal
124;Netherlands
125;Netherlands Antilles
126;New Caledonia
127;New Zealand
128;Nicaragua
129;Niger
130;Nigeria
131;North Korea
132;North Vietnam
133;Norway
134;Oman
135;Pakistan
136;Palestine
137;Panama
138;Papua New Guinea
139;Paraguay
140;Peru
141;Philippines
142;Poland
143;Portugal
144;Puerto Rico
145;Qatar
146;Republic of North Macedonia
147;Reunion
148;Romania
149;Russia
150;Rwanda
151;Samoa
152;Saudi Arabia
153;Senegal
154;Serbia
155;Serbia and Montenegro
156;Singapore
157;Slovakia
158;Slovenia
159;Somalia
160;South Africa
161;South Korea
162;Soviet Union
163;Spain
164;Sri Lanka
165;Sudan
166;Suriname
167;Svalbard And Jan Mayen
168;Sweden
169;Switzerland
170;Syria
171;Taiwan
172;Tajikistan
173;Tanzania
174;Thailand
175;The Democratic Republic Of Congo
176;Trinidad and Tobago
177;Tunisia
178;Turkey
179;Uganda
180;UK
181;Ukraine
182;United Arab Emirates
183;Uruguay
184;USA
185;Uzbekistan
186;Vanuatu
187;Venezuela
188;Vietnam
189;West Germany
190;Yemen
191;Yugoslavia
192;Zaire
193;Zambia
194;Zimbabwe
195;Occupied Palestinian Territory
196;Congo
197;The Democratic Republic of Congo
198;Benin
199;North Macedonia
200;Central African Republic
201;Saint Kitts and Nevis
202;Saint Helena
203;French Polynesia
204;French Guiana
205;Madagascar
