imdb_id,code
tt6566576,co0286257
tt9701940,co0286257
tt9701942,co0286257
tt12808182,co0142584
tt12808182,co0339082
tt7972012,co0032439
tt7972012,co0172053
tt7972012,co0069340
tt7972012,co0002435
tt7972012,co0028557
tt7972012,co0346444
tt7972012,co0037417
tt7972012,co0231204
tt7972012,co0090770
tt7972012,co0870592
tt7972012,co0169751
tt7972012,co0236787
tt6334354,co0002663
tt6334354,co0283444
tt6334354,co0028338
tt6334354,co0179825
tt6338498,co0050868
tt6338498,co0121181
tt12313458,co0057919
tt12313458,co0219977
tt12313458,co0090770
tt12313458,co0812820
tt10691162,co0395027
tt10691162,co0773843
tt10691162,co0756470
tt11762434,co0554413
tt11762434,co0474730
tt11762434,co0341688
tt1937202,co0028557
tt1937202,co0090290
tt1937202,co0165011
tt1937202,co0046749
tt1937202,co0125559
tt1937202,co0214005
tt0870154,co0022730
tt0870154,co0348357
tt0870154,co0536392
tt0870154,co0420822
tt0870154,co0008970
tt0870154,co0330850
tt8332922,co0775256
tt8332922,co0023400
tt8332922,co0071240
tt8332922,co0149632
tt11657662,co0435635
tt11657662,co0007038
tt11657662,co0091558
tt11657662,co0221706
tt11657662,co0144901
tt3480822,co0051941
tt3480822,co0179037
tt7638348,co0620416
tt7638348,co0259281
tt7638348,co0017712
tt7638348,co0760551
tt7638348,co0670041
tt7638348,co0784449
tt7638348,co0865299
tt7638348,co0303030
tt7638348,co0209925
tt7638348,co0739782
tt7638348,co0685915
tt7638348,co0619986
tt7638348,co0437328
tt0020530,
